Symbol,Close,Volume,ADR Value,ADR,Mod ADR,RSI
ACE.NS,1415.0,292003,76.59,5.41,5.41,50.62
AEGISCHEM.NS,494.55,1220091,24.15,5.56,5.56,74.45
ANGELONE.NS,2688.1,1161489,143.02,5.15,5.15,34.31
CGCL.NS,226.55,398172,12.79,6.1,6.1,59.86
COCHINSHIP.NS,1099.0,4929035,53.07,5.38,5.38,74.26
DATAPATTNS.NS,2795.3,920328,131.86,5.16,5.16,65.13
HEG.NS,2459.8,629054,115.73,5.62,5.62,88.17
HINDCOPPER.NS,364.1,13836495,16.21,5.32,5.32,83.83
IIFL.NS,406.1,1009559,22.78,6.25,6.25,65.49
INOXWIND.NS,569.05,1819240,29.55,5.8,5.8,61.13
JAIBALAJI.NS,998.15,109093,53.77,5.78,5.78,60.28
MMTC.NS,70.85,2230990,3.57,5.15,5.15,59.46
MRPL.NS,227.0,4316377,10.99,5.01,5.01,56.95
MOTILALOFS.NS,2232.0,917037,91.42,5.11,5.11,84.19
NCC.NS,242.5,4205719,12.67,5.29,5.29,51.0
SCHNEIDER.NS,718.4,264395,37.24,5.2,5.2,50.22
SOBHA.NS,1578.3,100617,75.82,5.26,5.26,68.31
STLTECH.NS,126.35,8407148,6.43,5.23,5.23,61.21
